Link,Description
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Fourth%20Class%20Seniority%20List%202024.pdf,Final Seniority List of Fourth Class Staff as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/final%20sr.%20list%20of%20technician.pdf,Final Seniority List of Technician as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Seniority%20list%20%20Senior%20Asst.pdf,Final Seniority List of Senior Assistant as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/TSP.pdf,Seniority List of Junior Assistant (TSP) as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Non-TSP.pdf,Seniority List of Junior Assistant (Non-TSP) as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/SENIORITY%20LIST%20CLASS%20IV%20AS%20ON%2001-04-2023.pdf,Provisional Seniority List of IV Class as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/SENIORITY%20LIST%20JR.ASSISTANT%20(NTSP)%20AS%20ON%2001-04-2023.pdf,Provisional Seniority List of Jr. Assistant (NTSP) as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/SENIORITY%20LIST%20JR.ASSISTANT%20(TSP)AS%20ON%2001.04.2023%20.pdf,Provisional Seniority List of Jr. Assistant (TSP) as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Ast%20Admin%20Officer%202023-24.pdf,Final Seniority List of  Assistant Administrative Officer as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Asst.%20Director%202023-24%20.pdf,Seniority List of Assistant Director as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Addl.%20Admin%20Officer%20Final.pdf,Final Seniority List of Additional Administrative Officer as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Seniority%20list%20of%20lab%20assistant.pdf,Final Seniority List of Lab Assistant as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Seniority%20list%20of%20Draftsman.pdf,Final Seniority List of Draftman as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/PrincipalJoint%20dir.pdf,Seniority List of Principal/Joint Director(Provisional) as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Add.%20senior%20Asst%202023.pdf,Seniority List of Additional Personal Assistant as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Personal%20Asst.%20Grade%20II.pdf,Seniority List of Personal Assistant Grade-II as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Senior%20Asst.pdf,Seniority List of Senior Assistant (Provisional) as on 01.04.2023
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Personal%20Asst.%20grade%20I%20(Final).pdf,Seniority List of Personal Assistant Grade-I (Final) as on 01.04.2023
